frame_id,track_id,center_x,center_y,width,height,timestamp,speed_kmh,distance_meters
1,1,1525.029541015625,137.45889282226562,42.58447265625,118.64148712158205,0.0333333333333333,0.0,0.0
1,2,562.0750732421875,839.8727416992188,151.28424072265625,184.339599609375,0.0333333333333333,0.0,0.0
1,3,405.4011840820313,129.67356872558594,43.55587768554688,134.02056884765625,0.0333333333333333,0.0,0.0
1,4,1068.23046875,254.8124237060547,77.901123046875,100.03665161132812,0.0333333333333333,0.0,0.0
1,5,211.52618408203125,440.14654541015625,49.85298156738281,122.13400268554688,0.0333333333333333,0.0,0.0
1,6,55.8515739440918,372.7396240234375,70.80797576904297,108.07327270507812,0.0333333333333333,0.0,0.0
1,7,1651.0797119140625,342.1944580078125,70.8193359375,128.162109375,0.0333333333333333,0.0,0.0
1,8,1695.195068359375,167.25439453125,45.9276123046875,65.16000366210938,0.0333333333333333,0.0,0.0
2,1,1525.0078125,137.49337768554688,42.5347900390625,118.72988891601562,0.0666666666666666,0.054497955447115734,0.0005046106985844049
2,2,561.5390014648438,840.6416015625,151.73263549804688,184.411376953125,0.0666666666666666,1.2532195158045059,0.011603884405597275
2,3,405.3446044921875,129.63059997558594,43.498291015625,134.00860595703125,0.0666666666666666,0.0949932185293629,0.0008795668382348416
2,4,1069.17138671875,255.80487060546875,81.3507080078125,102.68743896484376,0.0666666666666666,1.8285411146333932,0.01693093624660549
2,5,211.42388916015625,440.6243896484375,50.46647644042969,123.45819091796876,0.0666666666666666,0.6533836974738636,0.006049849050683922
2,6,55.77169799804688,372.7702331542969,71.02348327636719,108.11236572265624,0.0666666666666666,0.11437227973678799,0.0010590025901554443
2,7,1651.005126953125,342.1602783203125,71.1258544921875,128.08529663085938,0.0666666666666666,0.10969754424973102,0.0010157180023123242
2,8,1695.22998046875,166.75616455078125,46.3775634765625,66.34538269042969,0.0666666666666666,0.667798096047262,0.006183315704141315
3,1,1524.956298828125,137.65478515625,42.662353515625,119.00083923339844,0.1,0.22653654656255648,0.0020975606163199673
3,2,575.28369140625,840.6912841796875,170.35556030273438,183.8363037109375,0.1,18.37762955365888,0.17016323660795257
3,3,405.18499755859375,129.08248901367188,43.26583862304688,134.78843688964844,0.1,0.7632975855402273,0.007067570236483587
3,4,1068.7125244140625,255.78857421875,78.35693359375,98.89509582519533,0.1,0.6139143790414785,0.005684392398532208
3,5,210.90802001953125,441.1284790039063,50.99803161621094,124.1533203125,0.1,0.9643799510152561,0.008929443990882
3,6,56.105987548828125,372.86767578125,70.23504638671875,108.13101196289062,0.1,0.4655677147177073,0.004310812173312104
3,7,1650.94580078125,342.0722045898437,70.783203125,127.9515380859375,0.1,0.1419843073012852,0.0013146695120489368
3,8,1695.2265625,166.83810424804688,45.95166015625,65.83110046386719,0.1,0.10965377054979089,0.0010153126902758415
4,1,1524.9154052734375,137.6959228515625,42.67431640625,119.12118530273438,0.1333333333333333,0.07755645744114172,0.000718115346677238
4,2,587.5458984375,839.8145751953125,179.12399291992188,183.12664794921875,0.1333333333333333,16.43718859324178,0.1521961906781646
