player_id,frames_detected,detection_percentage,total_distance_pixels,avg_speed_pixels_per_sec,max_speed_pixels_per_sec,first_seen,last_seen
1,214,100.0,14.691887063982765,2.0692798681665865,11.874391633726967,0.03333333333333333,7.133333333333334
2,214,100.0,1536.6860007929217,216.43464799900306,769.5014941184627,0.03333333333333333,7.133333333333334
3,214,100.0,36.36197701332748,5.1214052131447145,35.09258968851335,0.03333333333333333,7.133333333333334
4,131,61.21495327102804,481.936074739196,111.21601724750678,532.655583388859,0.03333333333333333,4.366666666666666
5,214,100.0,83.94326125563899,11.822994543047754,193.15211846311357,0.03333333333333333,7.133333333333334
6,214,100.0,59.5116193419893,8.381918217181594,39.29213821905275,0.03333333333333333,7.133333333333334
7,214,100.0,83.34760170814668,11.73909883213333,119.49979323656122,0.03333333333333333,7.133333333333334
8,214,100.0,33.644911346474586,4.738719907954169,20.46754051777424,0.03333333333333333,7.133333333333334
10,27,12.616822429906541,3.4692509217486993,4.002981832786961,14.223261117743826,0.9333333333333333,1.8
28,83,38.78504672897196,550.3946013041581,201.3638785259115,852.2961088429613,4.366666666666666,7.133333333333334
