player_id,frames_detected,avg_speed_kmh,max_speed_kmh,total_distance_m,movement_area_m2,high_speed_moments,medium_speed_moments,low_speed_moments,activity_score
2,214,9.64622171800557,34.295719715992234,19.024492832733205,12.7896659706637,87,83,43,470
28,83,8.742915798850529,24.25056605260645,6.813999829687416,1.1960560482512121,30,30,22,172
4,131,4.956758868699822,23.739793532162036,5.966469008620155,1.311914270342485,19,22,89,190
5,214,0.5269360880404604,8.608548479752976,1.0392350625242415,0.005192659774829694,0,1,212,214
7,214,0.523196961074641,5.325956409811988,1.0318606732305418,0.0025950163155495543,0,1,212,214
6,214,0.3735716175420123,1.7512014852504072,0.7367662457078572,0.004565489446009144,0,0,213,213
3,214,0.2282546285933413,1.5640328566799295,0.45016885083686764,0.0005049168105704351,0,0,213,213
8,214,0.21119882289763237,0.9122126964515507,0.41653101182588603,0.0003160020415504308,0,0,213,213
10,27,0.1784078965600299,0.6339129689414653,0.042950049171859045,0.00013013690091461533,0,0,26,26
1,214,0.09222521712434956,0.5292267921256688,0.1818886226619116,0.00015402380247700947,0,0,213,213
