frame_id,track_id,center_x,center_y,width,height,timestamp
1,1,1525.029541015625,137.45889282226562,42.58447265625,118.64148712158203,0.03333333333333333
1,2,562.0750732421875,839.8727416992188,151.28424072265625,184.339599609375,0.03333333333333333
1,3,405.40118408203125,129.67356872558594,43.555877685546875,134.02056884765625,0.03333333333333333
1,4,1068.23046875,254.8124237060547,77.901123046875,100.03665161132812,0.03333333333333333
1,5,211.52618408203125,440.14654541015625,49.85298156738281,122.13400268554688,0.03333333333333333
1,6,55.8515739440918,372.7396240234375,70.80797576904297,108.07327270507812,0.03333333333333333
1,7,1651.0797119140625,342.1944580078125,70.8193359375,128.162109375,0.03333333333333333
1,8,1695.195068359375,167.25439453125,45.9276123046875,65.16000366210938,0.03333333333333333
2,1,1525.0078125,137.49337768554688,42.5347900390625,118.72988891601562,0.06666666666666667
2,2,561.5390014648438,840.6416015625,151.73263549804688,184.411376953125,0.06666666666666667
2,3,405.3446044921875,129.63059997558594,43.498291015625,134.00860595703125,0.06666666666666667
2,4,1069.17138671875,255.80487060546875,81.3507080078125,102.68743896484375,0.06666666666666667
2,5,211.42388916015625,440.6243896484375,50.46647644042969,123.45819091796875,0.06666666666666667
2,6,55.771697998046875,372.7702331542969,71.02348327636719,108.11236572265625,0.06666666666666667
2,7,1651.005126953125,342.1602783203125,71.1258544921875,128.08529663085938,0.06666666666666667
2,8,1695.22998046875,166.75616455078125,46.3775634765625,66.34538269042969,0.06666666666666667
3,1,1524.956298828125,137.65478515625,42.662353515625,119.00083923339844,0.1
3,2,575.28369140625,840.6912841796875,170.35556030273438,183.8363037109375,0.1
3,3,405.18499755859375,129.08248901367188,43.265838623046875,134.78843688964844,0.1
3,4,1068.7125244140625,255.78857421875,78.35693359375,98.89509582519531,0.1
3,5,210.90802001953125,441.12847900390625,50.99803161621094,124.1533203125,0.1
3,6,56.105987548828125,372.86767578125,70.23504638671875,108.13101196289062,0.1
3,7,1650.94580078125,342.07220458984375,70.783203125,127.9515380859375,0.1
3,8,1695.2265625,166.83810424804688,45.95166015625,65.83110046386719,0.1
4,1,1524.9154052734375,137.6959228515625,42.67431640625,119.12118530273438,0.13333333333333333
4,2,587.5458984375,839.8145751953125,179.12399291992188,183.12664794921875,0.13333333333333333
4,3,405.09893798828125,129.01495361328125,43.08282470703125,134.42791748046875,0.13333333333333333
4,4,1068.4691162109375,256.08746337890625,73.992919921875,97.93882751464844,0.13333333333333333
4,5,211.0800018310547,441.6677551269531,50.737396240234375,124.59832763671875,0.13333333333333333
4,6,56.474327087402344,372.99444580078125,69.75770568847656,108.10269165039062,0.13333333333333333
4,7,1652.0849609375,343.1912536621094,71.1707763671875,128.69305419921875,0.13333333333333333
4,8,1695.2769775390625,166.85272216796875,46.091796875,65.52265930175781,0.13333333333333333
5,1,1524.906982421875,137.67974853515625,42.6602783203125,119.09999084472656,0.16666666666666666
5,2,591.730712890625,839.105224609375,170.83465576171875,182.540771484375,0.16666666666666666
5,3,405.0467529296875,128.98294067382812,43.070037841796875,134.2674102783203,0.16666666666666666
5,4,1070.05517578125,255.8793182373047,70.2049560546875,99.05667114257812,0.16666666666666666
5,5,210.76968383789062,442.09393310546875,50.61433410644531,124.97662353515625,0.16666666666666666
5,6,56.515586853027344,372.95379638671875,69.71438598632812,108.37808227539062,0.16666666666666666
5,7,1651.335693359375,342.580078125,70.8345947265625,128.36602783203125,0.16666666666666666
5,8,1695.2236328125,166.51254272460938,45.9949951171875,65.92582702636719,0.16666666666666666
6,1,1524.8524169921875,137.71212768554688,42.791259765625,119.23416900634766,0.2
6,2,607.0652465820312,837.046875,178.6656494140625,186.11126708984375,0.2
6,3,404.49798583984375,128.44955444335938,43.21929931640625,134.7884063720703,0.2
6,4,1070.822509765625,256.0094909667969,64.2222900390625,102.59770202636719,0.2
6,5,211.03372192382812,441.490234375,50.8258056640625,123.55078125,0.2
6,6,56.09358215332031,372.928955078125,70.70851135253906,108.3902587890625,0.2
6,7,1650.974365234375,342.39031982421875,70.661865234375,128.32369995117188,0.2
6,8,1695.30810546875,166.60797119140625,46.1021728515625,65.34947204589844,0.2
7,1,1524.840576171875,137.64295959472656,42.8184814453125,119.38558959960938,0.23333333333333334
7,2,624.8734130859375,833.909912109375,170.39764404296875,190.36138916015625,0.23333333333333334
7,3,404.7843017578125,128.64889526367188,43.172607421875,134.87030029296875,0.23333333333333334
7,4,1072.6593017578125,254.58572387695312,57.1005859375,103.05274963378906,0.23333333333333334
7,5,211.21182250976562,441.30230712890625,51.13087463378906,123.11480712890625,0.23333333333333334
7,6,55.81650161743164,373.1419677734375,71.05799102783203,108.369384765625,0.23333333333333334
7,7,1650.82861328125,342.3267822265625,70.599365234375,128.28536987304688,0.23333333333333334
7,8,1695.343994140625,166.455322265625,46.0582275390625,65.44270324707031,0.23333333333333334
