player_id,frames_detected,detection_percentage,avg_speed_kmh,max_speed_kmh,avg_speed_ms,max_speed_ms,total_distance_m,movement_area_m2,high_speed_moments,moderate_speed_moments,low_speed_moments,activity_score,first_seen,last_seen,avg_confidence
1,214,100.0,0.0917942581658246,0.5292267921256707,0.02549840504606238,0.14700744225713075,0.18188862266191158,0.0002502301948960103,0,0,214,214,0.03333333333333333,7.133333333333334,0.6944706682289872
2,214,100.0,9.60114591558498,34.295719715992355,2.666984976551383,9.526588809997877,19.02449283273321,20.778350858931386,87,83,44,471,0.03333333333333333,7.133333333333334,0.8011890688789225
3,214,100.0,0.227188018179356,1.5640328566799349,0.06310778282759887,0.4344535712999819,0.4501688508368719,0.0008202980960307767,0,0,214,214,0.03333333333333333,7.133333333333334,0.4575476012775831
4,131,61.21495327102804,4.9189210147402775,23.73979353216229,1.3663669485389658,6.594387092267303,5.966469008620151,2.131362544459051,19,22,90,191,0.03333333333333333,4.366666666666666,0.7055742201459316
5,214,100.0,0.5244737698720463,8.608548479752924,0.14568715829779064,2.3912634665980343,1.0392350625242395,0.008436100437646692,0,1,213,215,0.03333333333333333,7.133333333333334,0.3656344082310935
6,214,100.0,0.37182595577779726,1.7512014852504136,0.1032849877160548,0.48644485701400375,0.7367662457078572,0.007417186795145399,0,0,214,214,0.03333333333333333,7.133333333333334,0.260372208448771
7,214,100.0,0.520752115462144,5.325956409812007,0.14465336540615112,1.4794323360588908,1.0318606732305446,0.004215916163316496,0,1,213,215,0.03333333333333333,7.133333333333334,0.33658474906582697
8,214,100.0,0.21021191251026025,0.9122126964515509,0.05839219791951674,0.25339241568098636,0.41653101182588603,0.0005133833288949245,0,0,214,214,0.03333333333333333,7.133333333333334,0.26398596508759203
10,27,12.616822429906541,0.17180019668743027,0.6339129689414453,0.04772227685761953,0.17608693581706814,0.04295004917185761,0.0002114230499138989,0,0,27,27,0.9333333333333333,1.8,0.22258512013488346
31,83,38.78504672897196,8.637579463924611,24.250566052605887,2.3993276288679475,6.73626834794608,6.813999829687416,1.9431369258990094,30,30,23,173,4.366666666666666,7.133333333333334,0.6943833285785583
