frame_id,track_id,object_type,center_x,center_y,width,height,confidence,timestamp,speed_kmh,speed_ms,distance_pixels,distance_meters
1,1,player,1525.029541015625,137.45889282226562,42.58447265625,118.64148712158203,0.6814003586769104,0.03333333333333333,0.0,0.0,0.0,0.0
1,2,player,562.0750732421875,839.8727416992188,151.28424072265625,184.339599609375,0.5830576419830322,0.03333333333333333,0.0,0.0,0.0,0.0
1,3,player,405.40118408203125,129.67356872558594,43.555877685546875,134.02056884765625,0.4484136998653412,0.03333333333333333,0.0,0.0,0.0,0.0
1,4,player,1068.23046875,254.8124237060547,77.901123046875,100.03665161132812,0.3757375478744507,0.03333333333333333,0.0,0.0,0.0,0.0
1,5,player,211.52618408203125,440.14654541015625,49.85298156738281,122.13400268554688,0.36812418699264526,0.03333333333333333,0.0,0.0,0.0,0.0
1,6,player,55.8515739440918,372.7396240234375,70.80797576904297,108.07327270507812,0.344714879989624,0.03333333333333333,0.0,0.0,0.0,0.0
1,7,player,1651.0797119140625,342.1944580078125,70.8193359375,128.162109375,0.34232810139656067,0.03333333333333333,0.0,0.0,0.0,0.0
1,8,player,1695.195068359375,167.25439453125,45.9276123046875,65.16000366210938,0.3240697383880615,0.03333333333333333,0.0,0.0,0.0,0.0
2,1,player,1525.0078125,137.49337768554688,42.5347900390625,118.72988891601562,0.6830580830574036,0.06666666666666667,0.054497955447115734,0.015138320957532148,0.0407594674498131,0.0005046106985844049
2,2,player,561.5390014648438,840.6416015625,151.73263549804688,184.411376953125,0.7072321176528931,0.06666666666666667,1.2532195158045059,0.34811653216791827,0.9372931450882107,0.011603884405597275
2,3,player,405.3446044921875,129.63059997558594,43.498291015625,134.00860595703125,0.4491800367832184,0.06666666666666667,0.09499321852930237,0.026387005147028436,0.07104620653806562,0.0008795668382342812
2,4,player,1069.17138671875,255.80487060546875,81.3507080078125,102.68743896484375,0.4194568693637848,0.06666666666666667,1.8285411146333932,0.5079280873981648,1.3675808831923661,0.01693093624660549
